ticker;data_com;data_pagamento;valor_por_cota
KNRI11;29/06/2018;13/07/2018;0.92
PMLL11;29/06/2018;13/07/2018;0.62
XPLG11;29/06/2018;13/07/2018;0.32
VISC11;29/06/2018;16/07/2018;0.61
BTLG11;16/07/2018;25/07/2018;0.29360941
XPML11;18/07/2018;25/07/2018;0.29
HGLG11;31/07/2018;14/08/2018;0.75
HGRU11;31/07/2018;14/08/2018;0.68
KNRI11;31/07/2018;14/08/2018;0.82
PMLL11;31/07/2018;14/08/2018;0.62
VISC11;31/07/2018;14/08/2018;0.61
XPLG11;31/07/2018;14/08/2018;0.134116
BTLG11;15/08/2018;24/08/2018;0.34118117
XPML11;17/08/2018;24/08/2018;0.43
HGLG11;31/08/2018;17/09/2018;0.75
HGRU11;31/08/2018;17/09/2018;0.68
KNRI11;31/08/2018;17/09/2018;0.82
PMLL11;31/08/2018;17/09/2018;0.62
VISC11;31/08/2018;17/09/2018;0.61
XPLG11;31/08/2018;17/09/2018;0.5
BTLG11;17/09/2018;25/09/2018;0.30864063
XPML11;18/09/2018;25/09/2018;0.5
HGLG11;28/09/2018;15/10/2018;0.75
HGRU11;28/09/2018;15/10/2018;0.68
KNRI11;28/09/2018;15/10/2018;0.82
PMLL11;28/09/2018;15/10/2018;0.62
TGAR11;01/10/2018;15/10/2018;0.75
VISC11;28/09/2018;15/10/2018;0.61
XPLG11;28/09/2018;15/10/2018;0.7
TGAR11;09/10/2018;17/10/2018;0.75
BTLG11;15/10/2018;25/10/2018;0.31267287
XPML11;18/10/2018;25/10/2018;0.5
TGAR11;31/10/2018;15/11/2018;0.65
HGLG11;31/10/2018;16/11/2018;0.75
HGRU11;31/10/2018;16/11/2018;0.68
KNRI11;31/10/2018;16/11/2018;0.82
PMLL11;31/10/2018;16/11/2018;0.62
TGAR11;16/10/2018;16/11/2018;0.65
VISC11;31/10/2018;16/11/2018;0.61
XPLG11;16/10/2018;16/11/2018;0.6
XPML11;14/11/2018;23/11/2018;0.6
BTLG11;16/11/2018;26/11/2018;0.34646915
TGAR11;27/11/2018;05/12/2018;0.65
TGAR11;28/11/2018;06/12/2018;0.65
HGLG11;30/11/2018;14/12/2018;0.75
HGRU11;30/11/2018;14/12/2018;0.68
KNRI11;30/11/2018;14/12/2018;0.74
PMLL11;30/11/2018;14/12/2018;0.64
TGAR11;30/11/2018;14/12/2018;1.01
VISC11;30/11/2018;14/12/2018;0.6042
XPLG11;30/11/2018;14/12/2018;0.645
XPML11;14/12/2018;21/12/2018;0.65
BTLG11;17/12/2018;26/12/2018;0.36565537
HGLG11;28/12/2018;15/01/2019;0.75
HGRU11;28/12/2018;15/01/2019;0.78
KNRI11;28/12/2018;15/01/2019;0.74
PMLL11;28/12/2018;15/01/2019;0.64
TGAR11;28/12/2018;15/01/2019;1.13
VISC11;28/12/2018;15/01/2019;0.6042
XPLG11;28/12/2018;15/01/2019;0.648
BTLG11;15/01/2019;24/01/2019;0.36548651
XPML11;17/01/2019;24/01/2019;0.88
HGLG11;31/01/2019;14/02/2019;0.75
HGRU11;31/01/2019;14/02/2019;0.68
KNRI11;31/01/2018;14/02/2019;0.74
PMLL11;31/01/2019;14/02/2019;0.74
TGAR11;31/01/2019;14/02/2019;0.75
VISC11;31/01/2019;14/02/2019;0.6042
XPLG11;31/01/2019;14/02/2019;0.67
XPML11;14/02/2019;21/02/2019;0.6
BTLG11;15/02/2019;25/02/2019;0.38127845
HGLG11;28/02/2019;18/03/2019;0.75
HGRU11;28/02/2019;18/03/2019;0.68
KNRI11;28/02/2019;18/03/2019;0.74
PMLL11;28/02/2019;18/03/2019;0.6
TGAR11;28/02/2019;18/03/2019;0.84
VISC11;28/02/2019;18/03/2019;0.6042
XPLG11;28/02/2019;18/03/2019;0.67
BTLG11;15/03/2019;25/03/2019;0.38029859
XPML11;18/03/2019;25/03/2019;0.6
HGLG11;29/03/2019;12/04/2019;0.75
HGRU11;29/03/2019;12/04/2019;0.68
KNRI11;29/03/2019;12/04/2019;0.74
PMLL11;29/03/2019;12/04/2019;0.6
TGAR11;29/03/2019;12/04/2019;0.8
VISC11;29/03/2019;12/04/2019;0.6042
XPLG11;29/03/2019;12/04/2019;0.68
BTLG11;15/04/2019;25/04/2019;0.43010053
XPML11;17/04/2019;25/04/2019;0.54
TGAR11;30/04/2019;09/05/2019;0.83
HGLG11;30/04/2019;15/05/2019;0.75
HGRU11;30/04/2019;15/05/2019;0.68
KNRI11;30/04/2019;15/05/2019;0.74
PMLL11;30/04/2019;15/05/2019;0.6
VISC11;30/04/2019;15/05/2019;0.49
XPLG11;30/04/2019;15/05/2019;0.68
BTLG11;15/05/2019;24/05/2019;0.43079277
XPML11;17/05/2019;24/05/2019;0.51
TGAR11;31/05/2019;10/06/2019;0.85
HGLG11;31/05/2019;14/06/2019;0.75
HGRU11;31/05/2019;14/06/2019;0.68
KNRI11;31/05/2019;14/06/2019;0.74
